Mes;Medio
01/01/2022;4.671.917.454,00
01/02/2022;5.109.927.464,00
01/03/2022;5.176.343.921,00
01/04/2022;5.017.566.669,00
01/05/2022;5.144.920.004,00
01/06/2022;5.201.848.807,00
01/07/2022;5.274.013.138,00
01/08/2022;4.951.699.434,00
01/09/2022;5.459.295.161,00
01/10/2022;5.201.103.481,00
01/11/2022;5.217.050.667,00
01/12/2022;5.365.446.802,00
01/01/2023;5.355.224.537,00
01/02/2023;5.527.855.953,00
01/03/2023;5.323.501.260,00
01/04/2023;5.715.069.416,00
01/05/2023;5.189.845.564,00
01/06/2023;6.042.647.441,00
01/07/2023;5.479.733.697,00
01/08/2023;6.087.216.581,00
01/09/2023;6.413.421.525,00
01/10/2023;6.249.219.294,00
01/11/2023;6.018.195.912,00
01/12/2023;5.589.863.863,00
01/01/2024;5.818.057.182,00
01/02/2024;6.399.506.551,00
01/03/2024;7.079.812.991,00
01/04/2024;6.158.784.506,00
01/05/2024;6.336.809.731,00
01/06/2024;5.993.397.432,00
01/07/2024;6.507.666.658,00
