Mes;Medio
1980-05-01;45705044531,18
1980-06-01;50111436228,08
1980-07-01;47447954560,30
1980-08-01;48704937241,08
1980-09-01;52338014869,86
1980-10-01;49050701643,16
1980-11-01;45458734608,92
1980-12-01;42457311618,76
1981-01-01;40960804908,46
1981-02-01;48851244372,70
1981-03-01;48342575966,01
1981-04-01;52055574525,95
1981-05-01;49530900152,71
1981-06-01;46619821859,34
1981-07-01;39330746264,53
1981-08-01;41005689083,19
1981-09-01;42331772099,93
1981-10-01;41587773887,11
1981-11-01;37530895765,97
1981-12-01;37925001305,52
1982-01-01;38403700275,99
1982-02-01;42893980412,35
1982-03-01;46489082088,27
1982-04-01;46388966705,95
1982-05-01;45719184029,95
1982-06-01;45114048093,13
1982-07-01;46517488475,62
1982-08-01;43118508325,92
1982-09-01;41629225072,50
1982-10-01;42432303318,41
1982-11-01;39149801866,87
1982-12-01;33758507289,51
1983-01-01;34584027532,43
1983-02-01;30727607572,37
1983-03-01;33114400087,55
1983-04-01;34815678161,57
1983-05-01;33532976268,04
1983-06-01;28738010495,74
1983-07-01;34153938287,66
1983-08-01;31438480759,30
1983-09-01;33938837405,19
1983-10-01;37896364159,99
1983-11-01;34597680676,89
1983-12-01;32705713414,54
1984-01-01;32154657452,52
1984-02-01;34718489125,84
1984-03-01;34425327301,87
1984-04-01;31156545452,88
1984-05-01;33076197686,18
1984-06-01;38770249952,20
1984-07-01;41180353139,69
1984-08-01;39478660430,83
1984-09-01;41045660578,76
1984-10-01;42721569493,34
1984-11-01;42826548279,90
1984-12-01;35635337831,87
1985-01-01;32413878167,16
1985-02-01;32733441485,16
1985-03-01;32909750870,94
1985-04-01;31735478893,85
1985-05-01;31521857348,78
1985-06-01;34582754603,73
1985-07-01;34419663149,57
1985-08-01;27953801405,19
1985-09-01;28982851028,46
1985-10-01;27946999739,21
1985-11-01;27792697139,65
1985-12-01;29551552559,62
1986-01-01;27496244476,18
1986-02-01;27991138251,42
1986-03-01;31039308124,98
1986-04-01;30467268282,12
1986-05-01;30360873097,21
1986-06-01;29272760880,90
1986-07-01;28759415328,47
1986-08-01;29088347143,65
1986-09-01;31032330059,75
1986-10-01;35215394127,95
